iter	Passed	Remaining
0	7	7760
1	13	6827
2	21	7079
3	26	6678
4	35	7040
5	43	7156
6	50	7120
7	58	7272
8	65	7184
9	73	7232
10	81	7307
11	88	7274
12	95	7252
13	103	7289
14	110	7248
15	117	7244
16	124	7216
17	131	7192
18	140	7240
19	146	7189
20	154	7188
21	160	7144
22	169	7221
23	178	7264
24	188	7353
25	199	7474
26	211	7616
27	218	7569
28	225	7551
29	230	7468
30	240	7507
31	246	7471
32	254	7458
33	262	7460
34	269	7417
35	277	7438
36	286	7458
37	294	7460
38	304	7513
39	314	7536
40	323	7566
41	331	7553
42	335	7469
43	341	7410
44	347	7378
45	356	7384
46	362	7350
47	370	7349
48	378	7347
49	383	7285
50	392	7301
51	399	7278
52	407	7276
53	415	7272
54	422	7267
55	432	7297
56	439	7272
57	448	7281
58	455	7261
59	459	7203
60	467	7199
61	475	7197
62	479	7134
63	486	7121
64	494	7117
65	497	7044
66	506	7056
67	515	7060
68	523	7063
69	532	7068
70	540	7067
71	546	7046
72	551	7004
73	558	6991
74	566	6984
75	575	6996
76	584	7002
77	593	7019
78	601	7009
79	608	6997
80	612	6945
81	616	6898
82	621	6861
83	628	6850
84	636	6853
85	645	6856
86	652	6846
87	657	6811
88	665	6810
89	672	6804
90	675	6750
91	683	6749
92	686	6696
93	695	6706
94	705	6719
95	708	6673
96	715	6657
97	723	6657
98	731	6656
99	737	6633
100	747	6650
101	753	6637
102	761	6635
103	769	6631
104	775	6606
105	782	6599
106	790	6596
107	798	6598
108	808	6608
109	815	6597
110	824	6605
111	833	6608
112	842	6612
113	845	6571
114	854	6573
115	863	6579
116	870	6570
117	874	6535
118	881	6524
119	889	6522
120	896	6511
121	900	6482
122	903	6440
123	909	6427
124	918	6430
125	927	6434
126	935	6432
127	943	6430
128	950	6418
129	957	6407
130	966	6408
131	972	6393
132	982	6407
133	990	6403
134	998	6398
135	1007	6398
136	1016	6404
137	1024	6399
138	1033	6401
139	1042	6405
140	1047	6378
141	1054	6372
142	1063	6370
143	1072	6373
144	1080	6373
145	1089	6371
146	1097	6368
147	1102	6349
148	1109	6338
149	1119	6341
150	1122	6313
151	1130	6308
152	1135	6283
153	1141	6272
154	1149	6265
155	1157	6264
156	1165	6256
157	1173	6251
158	1181	6251
159	1191	6253
160	1198	6244
161	1203	6225
162	1211	6220
163	1219	6218
164	1227	6211
165	1236	6211
166	1245	6210
167	1254	6212
168	1263	6214
169	1270	6200
170	1279	6201
171	1286	6193
172	1293	6184
173	1301	6179
174	1309	6174
175	1318	6174
176	1325	6161
177	1334	6162
178	1342	6156
179	1351	6157
180	1360	6154
181	1369	6155
182	1378	6154
183	1386	6149
184	1394	6145
185	1403	6142
186	1410	6132
187	1420	6137
188	1428	6130
189	1436	6125
190	1446	6125
191	1453	6116
192	1464	6121
193	1472	6115
194	1481	6115
195	1489	6109
196	1497	6104
197	1505	6098
198	1515	6098
199	1523	6093
200	1532	6092
201	1540	6085
202	1548	6080
203	1557	6075
204	1564	6068
205	1574	6069
206	1582	6064
207	1592	6062
208	1599	6054
209	1608	6052
210	1617	6048
211	1625	6041
212	1635	6044
213	1644	6039
214	1653	6037
215	1662	6033
216	1670	6027
217	1679	6024
218	1686	6013
219	1696	6014
220	1704	6008
221	1712	6001
222	1720	5994
223	1724	5973
224	1731	5965
225	1735	5943
226	1742	5935
227	1750	5926
228	1758	5921
229	1766	5915
230	1773	5905
231	1781	5897
232	1791	5895
233	1797	5885
234	1806	5880
235	1812	5868
236	1820	5862
237	1830	5860
238	1839	5856
239	1847	5849
240	1856	5847
241	1865	5842
242	1873	5836
243	1882	5834
244	1890	5827
245	1900	5825
246	1909	5821
247	1916	5812
248	1925	5806
249	1934	5804
250	1944	5802
251	1953	5798
252	1962	5793
253	1971	5790
254	1978	5781
255	1987	5775
256	1997	5774
257	2004	5766
258	2015	5766
259	2022	5757
260	2032	5753
261	2040	5747
262	2047	5737
263	2057	5735
264	2065	5729
265	2073	5721
266	2081	5714
267	2089	5708
268	2101	5710
269	2108	5701
270	2116	5692
271	2124	5685
272	2133	5680
273	2141	5675
274	2151	5673
275	2161	5670
276	2170	5664
277	2178	5658
278	2185	5648
279	2195	5645
280	2205	5642
281	2214	5639
282	2224	5634
283	2232	5627
284	2240	5622
285	2248	5614
286	2257	5607
287	2265	5600
288	2275	5598
289	2282	5587
290	2291	5584
291	2301	5579
292	2307	5568
293	2316	5562
294	2325	5556
295	2333	5550
296	2343	5548
297	2352	5541
298	2359	5531
299	2367	5523
300	2377	5521
301	2387	5517
302	2396	5512
303	2405	5507
304	2415	5504
305	2423	5495
306	2432	5490
307	2440	5482
308	2449	5477
309	2457	5470
310	2467	5465
311	2476	5460
312	2483	5450
313	2491	5443
314	2500	5438
315	2510	5433
316	2519	5428
317	2527	5421
318	2537	5417
319	2546	5411
320	2556	5407
321	2565	5402
322	2574	5395
323	2584	5392
324	2593	5386
325	2602	5381
326	2610	5373
327	2620	5369
328	2628	5361
329	2637	5355
330	2646	5348
331	2654	5340
332	2661	5330
333	2671	5326
334	2679	5319
335	2689	5314
336	2697	5306
337	2706	5300
